,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification,maritalStatus,sex
0,1,6,4,radio/television,1169,unknown/nosavings,morethan7yrs,4,A93,none,4,realEstate,67,none,own,2,skilled/official,1,yes,1,1,0,M
1,2,48,2,radio/television,5951,below100,betw1a4yrs,2,A92,none,2,realEstate,22,none,own,1,skilled/official,1,none,1,2,1,F
2,0,12,4,education,2096,below100,betw4a7yrs,2,A93,none,3,realEstate,49,none,own,1,unskilled/resident,2,none,1,1,0,M
3,1,42,2,furniture/equipment,7882,below100,betw4a7yrs,2,A93,guarantor,4,buildingSociety/lifeInsurance,45,none,forFree,1,skilled/official,2,none,1,1,0,M
4,1,24,3,car,4870,below100,betw1a4yrs,3,A93,none,4,unknown/noProperty,53,none,forFree,2,skilled/official,2,none,1,2,0,M
5,0,36,2,education,9055,unknown/nosavings,betw1a4yrs,2,A93,none,4,unknown/noProperty,35,none,forFree,1,unskilled/resident,2,yes,1,1,0,M
6,0,24,2,furniture/equipment,2835,betw500a1000,morethan7yrs,3,A93,none,4,buildingSociety/lifeInsurance,53,none,own,1,skilled/official,1,none,1,1,0,M
7,2,36,2,car,6948,below100,betw1a4yrs,2,A93,none,2,carOrOthers,35,none,rent,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
8,0,12,2,radio/television,3059,above1000,betw4a7yrs,2,A91,none,4,realEstate,61,none,own,1,unskilled/resident,1,none,1,1,1,M
9,2,30,4,car,5234,below100,unemployed,4,A94,none,2,carOrOthers,28,none,own,2,management/self-employed/highlyqualemployee/officer,1,none,1,2,1,M
10,2,12,2,car,1295,below100,lessth1yr,3,A92,none,1,carOrOthers,25,none,rent,1,skilled/official,1,none,1,2,1,F
11,1,48,2,business,4308,below100,lessth1yr,3,A92,none,4,buildingSociety/lifeInsurance,24,none,rent,1,skilled/official,1,none,1,2,1,F
12,2,12,2,radio/television,1567,below100,betw1a4yrs,1,A92,none,1,carOrOthers,22,none,own,1,skilled/official,1,yes,1,1,1,F
13,1,24,4,car,1199,below100,morethan7yrs,4,A93,none,4,carOrOthers,60,none,own,2,unskilled/resident,1,none,1,2,0,M
14,1,15,2,car,1403,below100,betw1a4yrs,2,A92,none,4,carOrOthers,28,none,rent,1,skilled/official,1,none,1,1,1,F
15,1,24,2,radio/television,1282,betw100a500,betw1a4yrs,4,A92,none,2,carOrOthers,32,none,own,1,unskilled/resident,1,none,1,2,1,F
16,0,24,4,radio/television,2424,unknown/nosavings,morethan7yrs,4,A93,none,4,buildingSociety/lifeInsurance,53,none,own,2,skilled/official,1,none,1,1,0,M
17,1,30,0,business,8072,unknown/nosavings,lessth1yr,2,A93,none,3,carOrOthers,25,bank,own,3,skilled/official,1,none,1,1,0,M
18,2,24,2,car,12579,below100,morethan7yrs,4,A92,none,2,unknown/noProperty,44,none,forFree,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,1,F
19,0,24,2,radio/television,3430,betw500a1000,morethan7yrs,3,A93,none,2,carOrOthers,31,none,own,1,skilled/official,2,yes,1,1,0,M
20,0,9,4,car,2134,below100,betw1a4yrs,4,A93,none,4,carOrOthers,48,none,own,3,skilled/official,1,yes,1,1,0,M
21,1,6,2,radio/television,2647,betw500a1000,betw1a4yrs,2,A93,none,3,realEstate,44,none,rent,1,skilled/official,2,none,1,1,0,M
22,1,10,4,car,2241,below100,lessth1yr,1,A93,none,3,realEstate,48,none,rent,2,unskilled/resident,2,none,0,1,0,M
23,2,12,4,car,1804,betw100a500,lessth1yr,3,A93,none,4,buildingSociety/lifeInsurance,44,none,own,1,skilled/official,1,none,1,1,0,M
24,0,10,4,furniture/equipment,2069,unknown/nosavings,betw1a4yrs,2,A94,none,1,carOrOthers,26,none,own,2,skilled/official,1,none,0,1,1,M
25,1,6,2,furniture/equipment,1374,below100,betw1a4yrs,1,A93,none,2,realEstate,36,bank,own,1,unskilled/resident,1,yes,1,1,0,M
26,0,6,0,radio/television,426,below100,morethan7yrs,4,A94,none,4,carOrOthers,39,none,own,1,unskilled/resident,1,none,1,1,1,M
27,3,12,1,radio/television,409,above1000,betw1a4yrs,3,A92,none,3,realEstate,42,none,rent,2,skilled/official,1,none,1,1,1,F
28,2,7,2,radio/television,2415,below100,betw1a4yrs,3,A93,guarantor,2,realEstate,34,none,own,1,skilled/official,1,none,1,1,0,M
29,1,60,3,business,6836,below100,morethan7yrs,3,A93,none,4,unknown/noProperty,63,none,own,2,skilled/official,1,yes,1,2,0,M
30,2,18,2,business,1913,above1000,lessth1yr,3,A94,none,3,realEstate,36,bank,own,1,skilled/official,1,yes,1,1,1,M
31,1,24,2,furniture/equipment,4020,below100,betw1a4yrs,2,A93,none,2,carOrOthers,27,stores,own,1,skilled/official,1,none,1,1,0,M
32,2,18,2,car,5866,betw100a500,betw1a4yrs,2,A93,none,2,carOrOthers,30,none,own,2,skilled/official,1,yes,1,1,0,M
33,0,12,4,business,1264,unknown/nosavings,morethan7yrs,4,A93,none,4,unknown/noProperty,57,none,rent,1,unskilled/resident,1,none,1,1,0,M
34,3,12,2,furniture/equipment,1474,below100,lessth1yr,4,A92,none,1,buildingSociety/lifeInsurance,33,bank,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,1,F
35,2,45,4,radio/television,4746,below100,lessth1yr,4,A93,none,2,buildingSociety/lifeInsurance,25,none,own,2,unskilled/resident,1,none,1,2,0,M
36,0,48,4,education,6110,below100,betw1a4yrs,1,A93,none,3,unknown/noProperty,31,bank,forFree,1,skilled/official,1,yes,1,1,0,M
37,3,18,2,radio/television,2100,below100,betw1a4yrs,4,A93,co-applicant,2,realEstate,37,stores,own,1,skilled/official,1,none,1,2,0,M
38,3,10,2,domesticAppliances,1225,below100,betw1a4yrs,2,A93,none,2,carOrOthers,37,none,own,1,skilled/official,1,yes,1,1,0,M
39,2,9,2,radio/television,458,below100,betw1a4yrs,4,A93,none,3,realEstate,24,none,own,1,skilled/official,1,none,1,1,0,M
40,0,30,2,radio/television,2333,betw500a1000,morethan7yrs,4,A93,none,2,carOrOthers,30,bank,own,1,management/self-employed/highlyqualemployee/officer,1,none,1,1,0,M
41,2,12,2,radio/television,1158,betw500a1000,betw1a4yrs,3,A91,none,1,carOrOthers,26,none,own,1,skilled/official,1,yes,1,1,1,M
