,existingchecking,statussex,sex,maritalStatus,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification
0,1,A93,1,0,6,3,3,1169,3,2,4,0,4,1,67,0,1,2,2,1,1,1,1
1,2,A92,0,1,48,1,3,5951,1,1,2,0,2,1,22,0,1,1,2,1,0,1,0
2,0,A93,1,0,12,3,6,2096,1,2,2,0,3,1,49,0,1,1,1,2,0,1,1
3,1,A93,1,0,42,1,2,7882,1,2,2,2,4,2,45,0,2,1,2,2,0,1,1
4,1,A93,1,0,24,2,1,4870,1,1,3,0,4,0,53,0,2,2,2,2,0,1,0
5,0,A93,1,0,36,1,6,9055,3,1,2,0,4,0,35,0,2,1,1,2,1,1,1
6,0,A93,1,0,24,1,2,2835,2,2,3,0,4,2,53,0,1,1,2,1,0,1,1
7,2,A93,1,0,36,1,1,6948,1,1,2,0,2,3,35,0,0,1,3,1,1,1,1
8,0,A91,1,1,12,1,3,3059,2,2,2,0,4,1,61,0,1,1,1,1,0,1,1
9,2,A94,1,1,30,3,1,5234,1,3,4,0,2,3,28,0,1,2,3,1,0,1,0
10,2,A92,0,1,12,1,1,1295,1,1,3,0,1,3,25,0,0,1,2,1,0,1,0
11,1,A92,0,1,48,1,9,4308,1,1,3,0,4,2,24,0,0,1,2,1,0,1,0
12,2,A92,0,1,12,1,3,1567,1,1,1,0,1,3,22,0,1,1,2,1,1,1,1
13,1,A93,1,0,24,3,1,1199,1,2,4,0,4,3,60,0,1,2,1,1,0,1,0
14,1,A92,0,1,15,1,1,1403,1,1,2,0,4,3,28,0,0,1,2,1,0,1,1
15,1,A92,0,1,24,1,3,1282,1,1,4,0,2,3,32,0,1,1,1,1,0,1,0
16,0,A93,1,0,24,3,3,2424,3,2,4,0,4,2,53,0,1,2,2,1,0,1,1
17,1,A93,1,0,30,1,9,8072,3,1,2,0,3,3,25,2,1,3,2,1,0,1,1
18,2,A92,0,1,24,1,1,12579,1,2,4,0,2,0,44,0,2,1,3,1,1,1,0
19,0,A93,1,0,24,1,3,3430,2,2,3,0,2,3,31,0,1,1,2,2,1,1,1
20,0,A93,1,0,9,3,1,2134,1,1,4,0,4,3,48,0,1,3,2,1,1,1,1
21,1,A93,1,0,6,1,3,2647,2,1,2,0,3,1,44,0,0,1,2,2,0,1,1
22,1,A93,1,0,10,3,1,2241,1,1,1,0,3,1,48,0,0,2,1,2,0,0,1
23,2,A93,1,0,12,3,1,1804,1,1,3,0,4,2,44,0,1,1,2,1,0,1,1
24,0,A94,1,1,10,3,2,2069,3,1,2,0,1,3,26,0,1,2,2,1,0,0,1
25,1,A93,1,0,6,1,2,1374,1,1,1,0,2,1,36,2,1,1,1,1,1,1,1
26,0,A94,1,1,6,1,3,426,1,2,4,0,4,3,39,0,1,1,1,1,0,1,1
27,3,A92,0,1,12,1,3,409,2,1,3,0,3,1,42,0,0,2,2,1,0,1,1
28,2,A93,1,0,7,1,3,2415,1,1,3,2,2,1,34,0,1,1,2,1,0,1,1
29,1,A93,1,0,60,2,9,6836,1,2,3,0,4,0,63,0,1,2,2,1,1,1,0
30,2,A94,1,1,18,1,9,1913,2,1,3,0,3,1,36,2,1,1,2,1,1,1,1
31,1,A93,1,0,24,1,2,4020,1,1,2,0,2,3,27,1,1,1,2,1,0,1,1
32,2,A93,1,0,18,1,1,5866,1,1,2,0,2,3,30,0,1,2,2,1,1,1,1
33,0,A93,1,0,12,3,9,1264,3,2,4,0,4,0,57,0,0,1,1,1,0,1,1
34,3,A92,0,1,12,1,2,1474,1,1,4,0,1,2,33,2,1,1,3,1,1,1,1
35,2,A93,1,0,45,3,3,4746,1,1,4,0,2,2,25,0,1,2,1,1,0,1,0
36,0,A93,1,0,48,3,6,6110,1,1,1,0,3,0,31,2,2,1,2,1,1,1,1
37,3,A93,1,0,18,1,3,2100,1,1,4,1,2,1,37,1,1,1,2,1,0,1,0
38,3,A93,1,0,10,1,4,1225,1,1,2,0,2,3,37,0,1,1,2,1,1,1,1
39,2,A93,1,0,9,1,3,458,1,1,4,0,3,1,24,0,1,1,2,1,0,1,1
40,0,A93,1,0,30,1,3,2333,2,2,4,0,2,3,30,2,1,1,3,1,0,1,1
41,2,A91,1,1,12,1,3,1158,2,1,3,0,1,3,26,0,1,1,2,1,1,1,1
42,2,A93,1,0,18,2,5,6204,1,1,2,0,4,1,44,0,1,1,1,2,1,1,1
43,1,A94,1,1,30,3,1,6187,1,2,1,0,4,3,24,0,0,2,2,1,0,1,1
44,1,A92,0,1,48,3,1,6143,1,2,4,0,4,0,58,1,2,2,1,1,0,1,0
45,0,A92,0,1,11,3,1,1393,1,1,4,0,4,3,35,0,1,2,3,1,0,1,1
46,0,A93,1,0,36,1,3,2299,2,2,4,0,4,3,39,0,1,1,2,1,0,1,1
47,1,A92,0,1,6,1,1,1352,2,3,1,0,2,2,23,0,0,1,0,1,1,1,1
48,0,A93,1,0,11,3,1,7228,1,1,1,0,4,2,39,0,1,2,1,1,0,1,1
49,0,A92,0,1,12,1,3,2073,1,1,4,1,2,1,28,0,1,1,2,1,0,1,1
50,2,A93,1,0,24,2,2,2333,3,1,4,0,2,2,29,2,1,1,1,1,0,1,1
51,2,A93,1,0,27,2,1,5965,1,2,1,0,2,3,30,0,1,2,3,1,1,1,1
52,0,A93,1,0,12,1,3,1262,1,1,3,0,2,3,25,0,1,1,2,1,0,1,1
53,0,A93,1,0,18,1,1,3378,3,1,2,0,1,2,31,0,1,1,2,1,1,1,1
54,2,A93,1,0,36,2,1,2225,1,2,4,0,4,0,57,2,2,2,2,1,1,1,0
55,0,A93,1,0,6,1,1,783,3,1,1,2,2,1,26,1,1,1,1,2,0,1,1
56,2,A93,1,0,12,1,3,6468,3,3,2,0,1,0,52,0,1,1,3,1,1,1,0
57,0,A92,0,1,36,3,3,9566,1,1,2,0,2,3,31,1,1,2,2,1,0,1,1
58,3,A92,0,1,18,1,1,1961,1,2,3,0,2,3,23,0,1,1,3,1,0,1,1
59,1,A92,0,1,36,3,2,6229,1,1,4,1,4,0,23,0,0,2,1,1,1,1,0
60,2,A94,1,1,9,1,9,1391,1,1,2,0,1,1,27,2,1,1,2,1,1,1,1
61,2,A93,1,0,15,3,3,1537,3,2,4,2,4,1,50,0,1,2,2,1,1,1,1
62,2,A93,1,0,36,1,9,1953,1,2,4,0,4,0,61,0,2,1,3,1,1,1,0
63,2,A93,1,0,48,1,9,14421,1,1,2,0,2,3,25,0,1,1,2,1,1,1,0
64,0,A92,0,1,24,1,3,3181,1,1,4,0,4,2,26,0,1,1,2,1,1,1,1
65,0,A93,1,0,27,1,5,5190,3,2,4,0,4,2,48,0,1,4,2,2,1,1,1
66,0,A92,0,1,12,1,3,2171,1,1,2,0,2,3,29,2,1,1,2,1,0,1,1
67,2,A94,1,1,12,1,1,1007,2,1,4,0,1,1,22,0,1,1,2,1,0,1,1
68,0,A93,1,0,36,1,6,1819,1,1,4,0,4,0,37,1,2,1,2,1,1,1,0
69,0,A92,0,1,36,1,3,2394,3,1,4,0,4,3,25,0,1,1,2,1,0,1,1
70,0,A92,0,1,36,1,1,8133,1,1,1,0,2,2,30,2,1,1,2,1,0,1,1
71,0,A93,1,0,7,3,3,730,3,2,4,0,2,2,46,0,0,2,1,1,1,1,1
72,1,A93,1,0,8,3,0,1164,1,2,3,0,4,0,51,2,2,2,3,2,1,1,1
73,2,A92,0,1,42,3,9,5954,1,2,2,0,1,1,41,2,1,2,1,1,0,1,1
74,1,A93,1,0,36,1,6,1977,3,2,4,0,4,0,40,0,1,1,3,1,1,1,0
75,1,A93,1,0,12,3,1,1526,1,2,4,0,4,0,66,0,2,2,3,1,0,1,1
76,1,A93,1,0,42,1,3,3965,1,1,4,0,3,3,34,0,1,1,2,1,0,1,0
77,2,A93,1,0,11,2,3,4771,1,2,2,0,4,2,51,0,1,1,2,1,0,1,1
78,0,A93,1,0,54,1,1,9436,3,1,2,0,2,2,39,0,1,1,1,2,0,1,1
79,2,A94,1,1,30,1,2,3832,1,1,2,0,1,2,22,0,1,1,2,1,0,1,1
80,0,A92,0,1,24,1,3,5943,3,1,1,0,1,3,44,0,1,2,2,1,1,1,0
81,0,A93,1,0,15,1,3,1213,2,2,4,0,3,2,47,1,1,1,2,1,1,1,1
82,0,A92,0,1,18,1,9,1568,1,1,3,0,4,2,24,0,0,1,1,1,0,1,1
83,1,A92,0,1,24,1,0,1755,1,2,4,2,4,1,58,0,1,1,1,1,1,1,1
84,1,A93,1,0,10,1,3,2315,1,2,3,0,4,1,52,0,1,1,1,1,0,1,1
85,0,A92,0,1,12,3,9,1412,1,1,4,2,2,1,29,0,1,2,3,1,1,1,1
86,2,A92,0,1,18,3,2,1295,1,1,4,0,1,2,27,0,1,2,2,1,0,1,1
87,2,A93,1,0,36,1,6,12612,1,1,1,0,4,0,47,0,2,1,2,2,1,1,0
